level,stack_profile,stack,stack_bb,opener_seat,defender_seat,opener_open_fraction,opener_call_fraction,defender_flat_realization,hand,best_action,fold_value,flat_value,jam_value,flat_ev,jam_ev,flat_equity,jam_equity,bb_win_bb_delta,bb_win_opener_delta,bb_win_others_delta,bb_lose_bb_delta,bb_lose_opener_delta,bb_lose_others_delta
9,defender-short,76000,20.000,0,5,0.500,0.500,0.400,93s,jam,-40.000000,-40.000000,-36.677083,0.000000,3.322917,0.302083,0.302083,22.000000,-80.000000,58.000000,0.000000,0.000000,0.000000
9,defender-short,76000,20.000,0,5,0.500,0.500,0.400,73o,jam,-40.000000,-40.000000,-36.694987,0.000000,3.305013,0.300456,0.300456,22.000000,-80.000000,58.000000,0.000000,0.000000,0.000000
9,defender-short,76000,20.000,0,5,0.500,0.500,0.400,74o,jam,-40.000000,-40.000000,-36.723633,0.000000,3.276367,0.297852,0.297852,22.000000,-80.000000,58.000000,0.000000,0.000000,0.000000
9,defender-short,76000,20.000,0,5,0.500,0.500,0.400,97s,jam,-40.000000,-40.000000,-36.734375,0.000000,3.265625,0.296875,0.296875,22.000000,-80.000000,58.000000,0.000000,0.000000,0.000000
9,defender-short,76000,20.000,0,5,0.500,0.500,0.400,94s,jam,-40.000000,-40.000000,-36.748698,0.000000,3.251302,0.295573,0.295573,22.000000,-80.000000,58.000000,0.000000,0.000000,0.000000
9,defender-short,76000,20.000,0,5,0.500,0.500,0.400,95s,jam,-40.000000,-40.000000,-36.805990,0.000000,3.194010,0.290365,0.290365,22.000000,-80.000000,58.000000,0.000000,0.000000,0.000000
9,defender-short,76000,20.000,0,5,0.500,0.500,0.400,T6o,jam,-40.000000,-40.000000,-36.810764,0.000000,3.189236,0.289931,0.289931,22.000000,-80.000000,58.000000,0.000000,0.000000,0.000000
9,defender-short,76000,20.000,0,5,0.500,0.500,0.400,T2o,jam,-40.000000,-40.000000,-36.810764,0.000000,3.189236,0.289931,0.289931,22.000000,-80.000000,58.000000,0.000000,0.000000,0.000000
9,defender-short,76000,20.000,0,5,0.500,0.500,0.400,T5o,jam,-40.000000,-40.000000,-36.820312,0.000000,3.179688,0.289062,0.289062,22.000000,-80.000000,58.000000,0.000000,0.000000,0.000000
9,defender-short,76000,20.000,0,5,0.500,0.500,0.400,72o,jam,-40.000000,-40.000000,-36.827474,0.000000,3.172526,0.288411,0.288411,22.000000,-80.000000,58.000000,0.000000,0.000000,0.000000
9,defender-short,76000,20.000,0,5,0.500,0.500,0.400,T8o,jam,-40.000000,-40.000000,-36.829861,0.000000,3.170139,0.288194,0.288194,22.000000,-80.000000,58.000000,0.000000,0.000000,0.000000
9,defender-short,76000,20.000,0,5,0.500,0.500,0.400,98s,jam,-40.000000,-40.000000,-36.834635,0.000000,3.165365,0.287760,0.287760,22.000000,-80.000000,58.000000,0.000000,0.000000,0.000000
9,defender-short,76000,20.000,0,5,0.500,0.500,0.400,64s,jam,-40.000000,-40.000000,-36.841797,0.000000,3.158203,0.287109,0.287109,22.000000,-80.000000,58.000000,0.000000,0.000000,0.000000
9,defender-short,76000,20.000,0,5,0.500,0.500,0.400,T7o,jam,-40.000000,-40.000000,-36.877604,0.000000,3.122396,0.283854,0.283854,22.000000,-80.000000,58.000000,0.000000,0.000000,0.000000
9,defender-short,76000,20.000,0,5,0.500,0.500,0.400,82o,jam,-40.000000,-40.000000,-36.906250,0.000000,3.093750,0.281250,0.281250,22.000000,-80.000000,58.000000,0.000000,0.000000,0.000000
9,defender-short,76000,20.000,0,5,0.500,0.500,0.400,83o,jam,-40.000000,-40.000000,-36.938477,0.000000,3.061523,0.278320,0.278320,22.000000,-80.000000,58.000000,0.000000,0.000000,0.000000
9,defender-short,76000,20.000,0,5,0.500,0.500,0.400,32s,jam,-40.000000,-40.000000,-36.981445,0.000000,3.018555,0.274414,0.274414,22.000000,-80.000000,58.000000,0.000000,0.000000,0.000000
9,defender-short,76000,20.000,0,5,0.500,0.500,0.400,T4o,jam,-40.000000,-40.000000,-36.987413,0.000000,3.012587,0.273872,0.273872,22.000000,-80.000000,58.000000,0.000000,0.000000,0.000000
9,defender-short,76000,20.000,0,5,0.500,0.500,0.400,T3o,jam,-40.000000,-40.000000,-37.006510,0.000000,2.993490,0.272135,0.272135,22.000000,-80.000000,58.000000,0.000000,0.000000,0.000000
9,defender-short,76000,20.000,0,5,0.500,0.500,0.400,93o,jam,-40.000000,-40.000000,-37.035156,0.000000,2.964844,0.269531,0.269531,22.000000,-80.000000,58.000000,0.000000,0.000000,0.000000
9,defender-short,76000,20.000,0,5,0.500,0.500,0.400,98o,jam,-40.000000,-40.000000,-37.125868,0.000000,2.874132,0.261285,0.261285,22.000000,-80.000000,58.000000,0.000000,0.000000,0.000000
9,defender-short,76000,20.000,0,5,0.500,0.500,0.400,96o,jam,-40.000000,-40.000000,-37.159288,0.000000,2.840712,0.258247,0.258247,22.000000,-80.000000,58.000000,0.000000,0.000000,0.000000
9,defender-short,76000,20.000,0,5,0.500,0.500,0.400,97o,jam,-40.000000,-40.000000,-37.164062,0.000000,2.835938,0.257812,0.257812,22.000000,-80.000000,58.000000,0.000000,0.000000,0.000000
9,defender-short,76000,20.000,0,5,0.500,0.500,0.400,94o,jam,-40.000000,-40.000000,-37.230903,0.000000,2.769097,0.251736,0.251736,22.000000,-80.000000,58.000000,0.000000,0.000000,0.000000
9,defender-short,76000,20.000,0,5,0.500,0.500,0.400,92o,jam,-40.000000,-40.000000,-37.345486,0.000000,2.654514,0.241319,0.241319,22.000000,-80.000000,58.000000,0.000000,0.000000,0.000000
9,defender-short,76000,20.000,0,5,0.500,0.500,0.400,95o,jam,-40.000000,-40.000000,-37.503038,0.000000,2.496962,0.226997,0.226997,22.000000,-80.000000,58.000000,0.000000,0.000000,0.000000
9,opener-big,76000,20.000,0,5,0.500,0.050,0.400,QQ,jam,0.000000,-12.117188,1.350694,-12.117188,1.350694,0.817057,0.837674,40.000000,-80.000000,40.000000,-40.000000,0.000000,40.000000
9,opener-big,76000,20.000,0,5,0.500,0.050,0.400,JJ,jam,0.000000,-12.051562,1.284722,-12.051562,1.284722,0.826172,0.821181,40.000000,-80.000000,40.000000,-40.000000,0.000000,40.000000
9,opener-big,76000,20.000,0,5,0.500,0.050,0.400,TT,jam,0.000000,-12.121875,1.276042,-12.121875,1.276042,0.816406,0.819010,40.000000,-80.000000,40.000000,-40.000000,0.000000,40.000000
9,opener-big,76000,20.000,0,5,0.500,0.050,0.400,KK,jam,0.000000,-12.379687,1.270833,-12.379687,1.270833,0.780599,0.817708,40.000000,-80.000000,40.000000,-40.000000,0.000000,40.000000
9,opener-big,76000,20.000,0,5,0.500,0.050,0.400,AA,jam,0.000000,-12.328125,1.258681,-12.328125,1.258681,0.787760,0.814670,40.000000,-80.000000,40.000000,-40.000000,0.000000,40.000000
9,opener-big,76000,20.000,0,5,0.500,0.050,0.400,AQs,jam,0.000000,-13.380469,0.007812,-13.380469,0.007812,0.641602,0.501953,40.000000,-80.000000,40.000000,-40.000000,0.000000,40.000000
9,opener-big,76000,20.000,0,5,0.500,0.050,0.400,99,jam,0.000000,-13.528125,0.000000,-13.528125,0.000000,0.621094,0.500000,40.000000,-80.000000,40.000000,-40.000000,0.000000,40.000000
9,opener-big,76000,20.000,0,5,0.500,0.050,0.400,KQs,fold,0.000000,-13.267969,-0.031250,-13.267969,-0.031250,0.657227,0.492188,40.000000,-80.000000,40.000000,-40.000000,0.000000,40.000000
9,opener-big,76000,20.000,0,5,0.500,0.050,0.400,JTs,fold,0.000000,-12.937500,-0.036458,-12.937500,-0.036458,0.703125,0.490885,40.000000,-80.000000,40.000000,-40.000000,0.000000,40.000000
9,opener-big,76000,20.000,0,5,0.500,0.050,0.400,QJs,fold,0.000000,-13.275000,-0.093750,-13.275000,-0.093750,0.656250,0.476562,40.000000,-80.000000,40.000000,-40.000000,0.000000,40.000000
9,opener-big,76000,20.000,0,5,0.500,0.050,0.400,QTs,fold,0.000000,-12.984375,-0.106771,-12.984375,-0.106771,0.696615,0.473307,40.000000,-80.000000,40.000000,-40.000000,0.000000,40.000000
9,opener-big,76000,20.000,0,5,0.500,0.050,0.400,ATs,fold,0.000000,-13.087500,-0.117188,-13.087500,-0.117188,0.682292,0.470703,40.000000,-80.000000,40.000000,-40.000000,0.000000,40.000000
9,opener-big,76000,20.000,0,5,0.500,0.050,0.400,AJs,fold,0.000000,-13.387500,-0.127604,-13.387500,-0.127604,0.640625,0.468099,40.000000,-80.000000,40.000000,-40.000000,0.000000,40.000000
9,opener-big,76000,20.000,0,5,0.500,0.050,0.400,KTs,fold,0.000000,-13.162500,-0.132812,-13.162500,-0.132812,0.671875,0.466797,40.000000,-80.000000,40.000000,-40.000000,0.000000,40.000000
9,opener-big,76000,20.000,0,5,0.500,0.050,0.400,AJo,fold,0.000000,-13.631250,-0.137153,-13.631250,-0.137153,0.606771,0.465712,40.000000,-80.000000,40.000000,-40.000000,0.000000,40.000000
9,opener-big,76000,20.000,0,5,0.500,0.050,0.400,AKs,fold,0.000000,-13.415625,-0.171875,-13.415625,-0.171875,0.636719,0.457031,40.000000,-80.000000,40.000000,-40.000000,0.000000,40.000000
9,opener-big,76000,20.000,0,5,0.500,0.050,0.400,QJo,fold,0.000000,-13.518750,-0.181424,-13.518750,-0.181424,0.622396,0.454644,40.000000,-80.000000,40.000000,-40.000000,0.000000,40.000000
9,opener-big,76000,20.000,0,5,0.500,0.050,0.400,QTo,fold,0.000000,-13.193750,-0.188368,-13.193750,-0.188368,0.667535,0.452908,40.000000,-80.000000,40.000000,-40.000000,0.000000,40.000000
9,opener-big,76000,20.000,0,5,0.500,0.050,0.400,JTo,fold,0.000000,-13.009375,-0.196181,-13.009375,-0.196181,0.693142,0.450955,40.000000,-80.000000,40.000000,-40.000000,0.000000,40.000000
9,opener-big,76000,20.000,0,5,0.500,0.050,0.400,KJs,fold,0.000000,-13.324219,-0.197917,-13.324219,-0.197917,0.649414,0.450521,40.000000,-80.000000,40.000000,-40.000000,0.000000,40.000000
9,opener-big,76000,20.000,0,5,0.500,0.050,0.400,AQo,fold,0.000000,-13.839844,-0.227431,-13.839844,-0.227431,0.577799,0.443142,40.000000,-80.000000,40.000000,-40.000000,0.000000,40.000000
9,opener-big,76000,20.000,0,5,0.500,0.050,0.400,ATo,fold,0.000000,-12.971875,-0.237847,-12.971875,-0.237847,0.698351,0.440538,40.000000,-80.000000,40.000000,-40.000000,0.000000,40.000000
9,opener-big,76000,20.000,0,5,0.500,0.050,0.400,KJo,fold,0.000000,-13.713281,-0.246528,-13.713281,-0.246528,0.595378,0.438368,40.000000,-80.000000,40.000000,-40.000000,0.000000,40.000000
9,opener-big,76000,20.000,0,5,0.500,0.050,0.400,KTo,fold,0.000000,-13.078125,-0.252604,-13.078125,-0.252604,0.683594,0.436849,40.000000,-80.000000,40.000000,-40.000000,0.000000,40.000000
9,opener-big,76000,20.000,0,5,0.500,0.050,0.400,AKo,fold,0.000000,-13.872656,-0.261285,-13.872656,-0.261285,0.573242,0.434679,40.000000,-80.000000,40.000000,-40.000000,0.000000,40.000000
