level,stack,stack_bb,opener_seat,defender_seat,opener_open_fraction,opener_call_fraction,defender_flat_realization,hand,best_action,fold_value,flat_value,jam_value,flat_ev,jam_ev,flat_equity,jam_equity,bb_win_bb_delta,bb_win_opener_delta,bb_win_others_delta,bb_lose_bb_delta,bb_lose_opener_delta,bb_lose_others_delta
9,19000,5.000,0,5,0.500,0.000,0.400,Q5s,jam,-18.000000,-22.250000,40.000000,-4.250000,58.000000,0.554688,0.000000,58.000000,-80.000000,22.000000,-22.000000,0.000000,22.000000
9,19000,5.000,0,5,0.500,0.000,0.400,K6s,jam,-18.000000,-22.281250,40.000000,-4.281250,58.000000,0.553711,0.000000,58.000000,-80.000000,22.000000,-22.000000,0.000000,22.000000
9,19000,5.000,0,5,0.500,0.000,0.400,A7s,jam,-18.000000,-22.375000,40.000000,-4.375000,58.000000,0.550781,0.000000,58.000000,-80.000000,22.000000,-22.000000,0.000000,22.000000
9,19000,5.000,0,5,0.500,0.000,0.400,K7s,jam,-18.000000,-22.406250,40.000000,-4.406250,58.000000,0.549805,0.000000,58.000000,-80.000000,22.000000,-22.000000,0.000000,22.000000
9,19000,5.000,0,5,0.500,0.000,0.400,J5s,jam,-18.000000,-22.406250,40.000000,-4.406250,58.000000,0.549805,0.000000,58.000000,-80.000000,22.000000,-22.000000,0.000000,22.000000
9,19000,5.000,0,5,0.500,0.000,0.400,Q4s,jam,-18.000000,-22.437500,40.000000,-4.437500,58.000000,0.548828,0.000000,58.000000,-80.000000,22.000000,-22.000000,0.000000,22.000000
9,19000,5.000,0,5,0.500,0.000,0.400,A8o,jam,-18.000000,-22.500000,40.000000,-4.500000,58.000000,0.546875,0.000000,58.000000,-80.000000,22.000000,-22.000000,0.000000,22.000000
9,19000,5.000,0,5,0.500,0.000,0.400,J8o,jam,-18.000000,-22.500000,40.000000,-4.500000,58.000000,0.546875,0.000000,58.000000,-80.000000,22.000000,-22.000000,0.000000,22.000000
9,19000,5.000,0,5,0.500,0.000,0.400,K2s,jam,-18.000000,-22.562500,40.000000,-4.562500,58.000000,0.544922,0.000000,58.000000,-80.000000,22.000000,-22.000000,0.000000,22.000000
9,19000,5.000,0,5,0.500,0.000,0.400,A5s,jam,-18.000000,-22.625000,40.000000,-4.625000,58.000000,0.542969,0.000000,58.000000,-80.000000,22.000000,-22.000000,0.000000,22.000000
9,19000,5.000,0,5,0.500,0.000,0.400,J2o,jam,-18.000000,-22.635417,40.000000,-4.635417,58.000000,0.542643,0.000000,58.000000,-80.000000,22.000000,-22.000000,0.000000,22.000000
9,19000,5.000,0,5,0.500,0.000,0.400,K8s,jam,-18.000000,-22.687500,40.000000,-4.687500,58.000000,0.541016,0.000000,58.000000,-80.000000,22.000000,-22.000000,0.000000,22.000000
9,19000,5.000,0,5,0.500,0.000,0.400,A4s,jam,-18.000000,-22.718750,40.000000,-4.718750,58.000000,0.540039,0.000000,58.000000,-80.000000,22.000000,-22.000000,0.000000,22.000000
9,19000,5.000,0,5,0.500,0.000,0.400,Q8o,jam,-18.000000,-22.791667,40.000000,-4.791667,58.000000,0.537760,0.000000,58.000000,-80.000000,22.000000,-22.000000,0.000000,22.000000
9,19000,5.000,0,5,0.500,0.000,0.400,Q2s,jam,-18.000000,-22.812500,40.000000,-4.812500,58.000000,0.537109,0.000000,58.000000,-80.000000,22.000000,-22.000000,0.000000,22.000000
9,19000,5.000,0,5,0.500,0.000,0.400,A3o,jam,-18.000000,-22.822917,40.000000,-4.822917,58.000000,0.536784,0.000000,58.000000,-80.000000,22.000000,-22.000000,0.000000,22.000000
9,19000,5.000,0,5,0.500,0.000,0.400,Q6o,jam,-18.000000,-22.843750,40.000000,-4.843750,58.000000,0.536133,0.000000,58.000000,-80.000000,22.000000,-22.000000,0.000000,22.000000
9,19000,5.000,0,5,0.500,0.000,0.400,K4s,jam,-18.000000,-22.968750,40.000000,-4.968750,58.000000,0.532227,0.000000,58.000000,-80.000000,22.000000,-22.000000,0.000000,22.000000
9,19000,5.000,0,5,0.500,0.000,0.400,Q2o,jam,-18.000000,-22.989583,40.000000,-4.989583,58.000000,0.531576,0.000000,58.000000,-80.000000,22.000000,-22.000000,0.000000,22.000000
9,19000,5.000,0,5,0.500,0.000,0.400,A6o,jam,-18.000000,-23.052083,40.000000,-5.052083,58.000000,0.529622,0.000000,58.000000,-80.000000,22.000000,-22.000000,0.000000,22.000000
9,19000,5.000,0,5,0.500,0.000,0.400,K7o,jam,-18.000000,-23.083333,40.000000,-5.083333,58.000000,0.528646,0.000000,58.000000,-80.000000,22.000000,-22.000000,0.000000,22.000000
9,19000,5.000,0,5,0.500,0.000,0.400,K8o,jam,-18.000000,-23.104167,40.000000,-5.104167,58.000000,0.527995,0.000000,58.000000,-80.000000,22.000000,-22.000000,0.000000,22.000000
9,19000,5.000,0,5,0.500,0.000,0.400,J5o,jam,-18.000000,-23.125000,40.000000,-5.125000,58.000000,0.527344,0.000000,58.000000,-80.000000,22.000000,-22.000000,0.000000,22.000000
9,19000,5.000,0,5,0.500,0.000,0.400,A5o,jam,-18.000000,-23.145833,40.000000,-5.145833,58.000000,0.526693,0.000000,58.000000,-80.000000,22.000000,-22.000000,0.000000,22.000000
9,19000,5.000,0,5,0.500,0.000,0.400,K3s,jam,-18.000000,-23.156250,40.000000,-5.156250,58.000000,0.526367,0.000000,58.000000,-80.000000,22.000000,-22.000000,0.000000,22.000000
9,19000,5.000,0,5,0.500,0.000,0.400,J2s,jam,-18.000000,-23.187500,40.000000,-5.187500,58.000000,0.525391,0.000000,58.000000,-80.000000,22.000000,-22.000000,0.000000,22.000000
9,19000,5.000,0,5,0.500,0.000,0.400,A4o,jam,-18.000000,-23.250000,40.000000,-5.250000,58.000000,0.523438,0.000000,58.000000,-80.000000,22.000000,-22.000000,0.000000,22.000000
9,19000,5.000,0,5,0.500,0.000,0.400,K4o,jam,-18.000000,-23.354167,40.000000,-5.354167,58.000000,0.520182,0.000000,58.000000,-80.000000,22.000000,-22.000000,0.000000,22.000000
