level,stack,stack_bb,postflop_realization,flat_call_fraction,seat,posted,open2bb_wfrac,ai_wfrac,fold_wfrac,open2bb_classes,ai_classes,top_open2bb,top_ai
9,19000,5.000,0.400,0.000,0,950,0.175716,0.175716,0.648567,62,62,KK|QQ|AA|KQo|AQo,KK|QQ|AA|KQo|AQo
9,19000,5.000,0.400,0.000,1,950,0.500000,0.500000,0.000000,169,169,KK|QQ|AA|KQo|AQo,KK|QQ|AA|KQo|AQo
9,19000,5.000,0.400,0.000,2,950,0.000000,0.000000,1.000000,0,0,,
9,19000,5.000,0.400,0.000,3,950,0.500000,0.500000,0.000000,169,169,KK|QQ|AA|KQo|AQo,KK|QQ|AA|KQo|AQo
9,19000,5.000,0.400,0.000,4,2850,0.500000,0.500000,0.000000,169,169,KK|QQ|AA|KQo|AQo,KK|QQ|AA|KQo|AQo
9,19000,5.000,0.400,0.250,0,950,0.000000,0.351433,0.648567,0,62,,KK|QQ|AA|KQo|AQo
9,19000,5.000,0.400,0.250,1,950,0.000000,1.000000,0.000000,0,169,,KK|QQ|AA|KQo|AQo
9,19000,5.000,0.400,0.250,2,950,0.000000,0.000000,1.000000,0,0,,
9,19000,5.000,0.400,0.250,3,950,0.000000,1.000000,0.000000,0,169,,KK|QQ|AA|KQo|AQo
9,19000,5.000,0.400,0.250,4,2850,0.000000,1.000000,0.000000,0,169,,KK|QQ|AA|KQo|AQo
9,22800,6.000,0.400,0.000,0,950,0.175716,0.175716,0.648567,62,62,KK|QQ|AA|KQo|AQo,KK|QQ|AA|KQo|AQo
9,22800,6.000,0.400,0.000,1,950,0.598039,0.401961,0.000000,169,142,KK|QQ|AA|KQo|AQo,KK|QQ|AA|KQo|AQo
9,22800,6.000,0.400,0.000,2,950,0.000000,0.000000,1.000000,0,0,,
9,22800,6.000,0.400,0.000,3,950,0.598039,0.401961,0.000000,169,142,KK|QQ|AA|KQo|AQo,KK|QQ|AA|KQo|AQo
9,22800,6.000,0.400,0.000,4,2850,0.500000,0.500000,0.000000,169,169,KK|QQ|AA|KQo|AQo,KK|QQ|AA|KQo|AQo
9,22800,6.000,0.400,0.250,0,950,0.000000,0.351433,0.648567,0,62,,KK|QQ|AA|KQo|AQo
9,22800,6.000,0.400,0.250,1,950,0.000000,1.000000,0.000000,0,169,,KK|QQ|AA|KQo|AQo
9,22800,6.000,0.400,0.250,2,950,0.000000,0.000000,1.000000,0,0,,
9,22800,6.000,0.400,0.250,3,950,0.000000,1.000000,0.000000,0,169,,KK|QQ|AA|KQo|AQo
9,22800,6.000,0.400,0.250,4,2850,0.000000,1.000000,0.000000,0,169,,KK|QQ|AA|KQo|AQo
9,30400,8.000,0.400,0.000,0,950,0.040724,0.040724,0.918552,15,15,KK|QQ|AA|KQo|AQo,KK|QQ|AA|KQo|AQo
